source_scope,category,speaker_id,speaker_gender,rms,peak,dynamic_range_db,silence_ratio,spectral_centroid_hz,duration_sec
paper_clean_audio_quality_sample,Kalimat_Negasi,M12,Male,0.10073504596948624,0.803619384765625,18.03739629578313,0.260233918128655,962.8921428015499,3.4257
paper_clean_audio_quality_sample,Kalimat_Negasi,F5,Female,0.05472671240568161,0.41876220703125,17.67536239311653,0.42857142857142855,1268.0711396278919,2.2407
paper_clean_audio_quality_sample,Kalimat_Negasi,M1,Male,0.1376616358757019,0.751495361328125,14.742267555814399,0.26299694189602446,652.5308263049019,3.2757
paper_clean_audio_quality_sample,Kalimat_Negasi,M3,Male,0.1337597817182541,0.8328857421875,15.885197519007608,0.2275132275132275,906.6763824462507,3.7868
paper_clean_audio_quality_sample,Kalimat_Negasi,M12,Male,0.08443939685821533,0.53558349609375,16.04564125602369,0.23857868020304568,1175.0773040779557,3.9468
paper_clean_audio_quality_sample,Kalimat_Negasi,M11,Male,0.11856519430875778,0.6412353515625,14.66120478860943,0.25753424657534246,952.533167300308,3.6578
paper_clean_audio_quality_sample,Kalimat_Negasi,M6,Male,0.11236585676670074,0.7178955078125,16.108537356755413,0.21957671957671956,979.0520823664779,3.7898
paper_clean_audio_quality_sample,Kalimat_Negasi,M4,Male,0.12329307198524475,0.8912353515625,17.181074616119965,0.26038781163434904,1187.1840012550979,3.6187
paper_clean_audio_quality_sample,Kalimat_Negasi,F2,Female,0.10901834070682526,0.85986328125,17.938596712414206,0.23648648648648649,1142.429776570658,4.4497
paper_clean_audio_quality_sample,Kalimat_Negasi,F7,Female,0.1435932219028473,0.8551025390625,15.497685110008668,0.25280898876404495,1586.0816142574126,3.5678
paper_clean_audio_quality_sample,Kalimat_Negasi,M2,Male,0.0984317734837532,0.63671875,16.216246572423735,0.28378378378378377,860.6108483069416,3.7008
paper_clean_audio_quality_sample,Kalimat_Negasi,M6,Male,0.10307005792856216,0.808258056640625,17.888350435150592,0.33146067415730335,1148.2744826768005,7.1297
paper_clean_audio_quality_sample,Kalimat_Negasi,M11,Male,0.10505456477403641,0.5565185546875,14.481294405525817,0.2518703241895262,894.1762052758536,4.0118
paper_clean_audio_quality_sample,Kalimat_Negasi,F2,Female,0.18730255961418152,0.891265869140625,13.549271260901847,0.24945770065075923,1220.8724566931685,4.6158
paper_clean_audio_quality_sample,Kalimat_Negasi,F4,Female,0.1088659018278122,0.580078125,14.531892267849248,0.24739583333333334,913.8583114029379,3.8428
paper_clean_audio_quality_sample,Kalimat_Negasi,F4,Female,0.09177741408348083,0.765289306640625,18.42179655299278,0.3013698630136986,1106.420773886653,5.1108
paper_clean_audio_quality_sample,Kalimat_Negasi,M7,Male,0.07674568146467209,0.536468505859375,16.889805676874673,0.42857142857142855,927.070493301524,2.5997
paper_clean_audio_quality_sample,Kalimat_Negasi,F5,Female,0.07008322328329086,0.48321533203125,16.77053274471824,0.34195402298850575,1136.7587121752827,3.4848
paper_clean_audio_quality_sample,Kalimat_Penjadwalan,M3,Male,0.03137531504034996,0.253753662109375,18.156484438770264,0.009933774834437087,1088.391352472651,6.049
paper_clean_audio_quality_sample,Kalimat_Penjadwalan,M8,Male,0.09501868486404419,0.589599609375,15.854963430542202,0.05534351145038168,838.4953125698656,5.243
paper_clean_audio_quality_sample,Kalimat_Penjadwalan,F5,Female,0.02566266618669033,0.226715087890625,18.923572937959694,0.0,992.9232766821436,4.723
paper_clean_audio_quality_sample,Kalimat_Penjadwalan,M4,Male,0.1375802755355835,0.983001708984375,17.07996195333354,0.16695352839931152,1154.0615086260675,5.819
paper_clean_audio_quality_sample,Kalimat_Penjadwalan,M5,Male,0.20273680984973907,1.0,13.861347827651437,0.225,786.987394142037,5.607
paper_clean_audio_quality_sample,Kalimat_Penjadwalan,F1,Female,0.04152804985642433,0.234527587890625,15.037047971354161,0.3891625615763547,773.021622845022,4.068
paper_clean_audio_quality_sample,Kalimat_Penjadwalan,M10,Male,0.11373107135295868,0.999969482421875,18.882152311136096,0.2515090543259557,1101.9583864884498,4.979
paper_clean_audio_quality_sample,Kalimat_Penjadwalan,M5,Male,0.11368423700332642,0.8455810546875,17.42909984555901,0.45,626.4526706795845,4.206
paper_clean_audio_quality_sample,Kalimat_Penjadwalan,M10,Male,0.03358720988035202,0.224517822265625,16.501537833635922,0.0,908.1783293364994,3.931
paper_clean_audio_quality_sample,Kalimat_Penjadwalan,M12,Male,0.045634206384420395,0.315216064453125,16.786356786233934,0.0017793594306049821,1035.0568065897717,5.62
paper_clean_audio_quality_sample,Kalimat_Penjadwalan,F5,Female,0.07283204048871994,0.748748779296875,20.240272985706618,0.2885375494071146,1202.180700948391,5.064
paper_clean_audio_quality_sample,Kalimat_Penjadwalan,M1,Male,0.04358873516321182,0.27783203125,16.08816092082341,0.325,540.3575602988117,5.601
paper_clean_audio_quality_sample,Kalimat_Penjadwalan,M3,Male,0.0336763821542263,0.19268798828125,15.150584242536604,0.0,776.3319744591299,4.43
paper_clean_audio_quality_sample,Kalimat_Penjadwalan,M12,Male,0.06764863431453705,0.592071533203125,18.842302930935364,0.011406844106463879,946.849971438872,5.267
paper_clean_audio_quality_sample,Kalimat_Penjadwalan,M11,Male,0.15876202285289764,0.999969482421875,15.984802442232233,0.3764705882352941,945.8525919841356,5.103
paper_clean_audio_quality_sample,Kalimat_Penjadwalan,M6,Male,0.040308572351932526,0.3050537109375,17.579577896471474,0.005326231691078562,970.3929710583404,7.511
paper_clean_audio_quality_sample,Kalimat_Penjadwalan,M4,Male,0.27451545000076294,1.0,11.22866415690571,0.1792452830188679,827.5280705399249,5.303
paper_clean_audio_quality_sample,Kalimat_Penjadwalan,F2,Female,0.1292628049850464,0.990936279296875,17.691443051171664,0.36084452975047987,755.3491678166408,5.213
paper_clean_audio_quality_sample,Kalimat_Penjadwalan,F7,Female,0.049077752977609634,0.51312255859375,20.386728737536664,0.26024955436720143,1048.7842471879742,5.616
